Model,h(m),hw(m),Alpha,Cohesion,Friction,FOS
modelo_h_03_hwp_090_alpha_15_c_00_phi_15.hjs,3,2.7,15,0,15,0.863703784
modelo_h_03_hwp_090_alpha_15_c_00_phi_20.hjs,3,2.7,15,0,20,1.215561013
modelo_h_03_hwp_090_alpha_15_c_00_phi_25.hjs,3,2.7,15,0,25,1.588007888
modelo_h_03_hwp_090_alpha_15_c_00_phi_30.hjs,3,2.7,15,0,30,1.989184595
modelo_h_03_hwp_090_alpha_15_c_00_phi_35.hjs,3,2.7,15,0,35,2.429506613
modelo_h_03_hwp_090_alpha_15_c_00_phi_40.hjs,3,2.7,15,0,40,2.922877123
modelo_h_03_hwp_090_alpha_15_c_00_phi_45.hjs,3,2.7,15,0,45,3.488643488
modelo_h_03_hwp_090_alpha_15_c_05_phi_15.hjs,3,2.7,15,5,15,1.525819395
modelo_h_03_hwp_090_alpha_15_c_05_phi_20.hjs,3,2.7,15,5,20,1.913043091
modelo_h_03_hwp_090_alpha_15_c_05_phi_25.hjs,3,2.7,15,5,25,2.322959046
modelo_h_03_hwp_090_alpha_15_c_05_phi_30.hjs,3,2.7,15,5,30,2.764514411
modelo_h_03_hwp_090_alpha_15_c_05_phi_35.hjs,3,2.7,15,5,35,3.24925559
modelo_h_03_hwp_090_alpha_15_c_05_phi_40.hjs,3,2.7,15,5,40,3.792009068
modelo_h_03_hwp_090_alpha_15_c_05_phi_45.hjs,3,2.7,15,5,45,4.408077965
modelo_h_03_hwp_090_alpha_15_c_10_phi_15.hjs,3,2.7,15,10,15,2.101316842
modelo_h_03_hwp_090_alpha_15_c_10_phi_20.hjs,3,2.7,15,10,20,2.488417972
modelo_h_03_hwp_090_alpha_15_c_10_phi_25.hjs,3,2.7,15,10,25,2.898239344
modelo_h_03_hwp_090_alpha_15_c_10_phi_30.hjs,3,2.7,15,10,30,3.339795699
modelo_h_03_hwp_090_alpha_15_c_10_phi_35.hjs,3,2.7,15,10,35,3.824400081
modelo_h_03_hwp_090_alpha_15_c_10_phi_40.hjs,3,2.7,15,10,40,4.367417763
modelo_h_03_hwp_090_alpha_15_c_10_phi_45.hjs,3,2.7,15,10,45,4.990131685
modelo_h_03_hwp_090_alpha_15_c_15_phi_15.hjs,3,2.7,15,15,15,2.639396596
modelo_h_03_hwp_090_alpha_15_c_15_phi_20.hjs,3,2.7,15,15,20,3.039643814
modelo_h_03_hwp_090_alpha_15_c_15_phi_25.hjs,3,2.7,15,15,25,3.46476308
modelo_h_03_hwp_090_alpha_15_c_15_phi_30.hjs,3,2.7,15,15,30,3.915184975
modelo_h_03_hwp_090_alpha_15_c_15_phi_35.hjs,3,2.7,15,15,35,4.399717091
modelo_h_03_hwp_090_alpha_15_c_15_phi_40.hjs,3,2.7,15,15,40,4.942668475
modelo_h_03_hwp_090_alpha_15_c_15_phi_45.hjs,3,2.7,15,15,45,5.565327751
modelo_h_03_hwp_090_alpha_15_c_20_phi_15.hjs,3,2.7,15,20,15,3.171203403
modelo_h_03_hwp_090_alpha_15_c_20_phi_20.hjs,3,2.7,15,20,20,3.571492557
modelo_h_03_hwp_090_alpha_15_c_20_phi_25.hjs,3,2.7,15,20,25,3.996518381
modelo_h_03_hwp_090_alpha_15_c_20_phi_30.hjs,3,2.7,15,20,30,4.45591075
modelo_h_03_hwp_090_alpha_15_c_20_phi_35.hjs,3,2.7,15,20,35,4.962034604
modelo_h_03_hwp_090_alpha_15_c_20_phi_40.hjs,3,2.7,15,20,40,5.518042459
modelo_h_03_hwp_090_alpha_15_c_20_phi_45.hjs,3,2.7,15,20,45,6.140639909
modelo_h_03_hwp_090_alpha_20_c_00_phi_15.hjs,3,2.7,20,0,15,0.635646304
modelo_h_03_hwp_090_alpha_20_c_00_phi_20.hjs,3,2.7,20,0,20,0.894597108
modelo_h_03_hwp_090_alpha_20_c_00_phi_25.hjs,3,2.7,20,0,25,1.168700975
modelo_h_03_hwp_090_alpha_20_c_00_phi_30.hjs,3,2.7,20,0,30,1.463948607
modelo_h_03_hwp_090_alpha_20_c_00_phi_35.hjs,3,2.7,20,0,35,1.788005428
modelo_h_03_hwp_090_alpha_20_c_00_phi_40.hjs,3,2.7,20,0,40,2.151103513
modelo_h_03_hwp_090_alpha_20_c_00_phi_45.hjs,3,2.7,20,0,45,2.567481546
modelo_h_03_hwp_090_alpha_20_c_05_phi_15.hjs,3,2.7,20,5,15,1.137986492
modelo_h_03_hwp_090_alpha_20_c_05_phi_20.hjs,3,2.7,20,5,20,1.420906708
modelo_h_03_hwp_090_alpha_20_c_05_phi_25.hjs,3,2.7,20,5,25,1.720418072
modelo_h_03_hwp_090_alpha_20_c_05_phi_30.hjs,3,2.7,20,5,30,2.043055305
modelo_h_03_hwp_090_alpha_20_c_05_phi_35.hjs,3,2.7,20,5,35,2.397187699
modelo_h_03_hwp_090_alpha_20_c_05_phi_40.hjs,3,2.7,20,5,40,2.793993393
modelo_h_03_hwp_090_alpha_20_c_05_phi_45.hjs,3,2.7,20,5,45,3.248165659
modelo_h_03_hwp_090_alpha_20_c_10_phi_15.hjs,3,2.7,20,10,15,1.576452892
modelo_h_03_hwp_090_alpha_20_c_10_phi_20.hjs,3,2.7,20,10,20,1.864492585
modelo_h_03_hwp_090_alpha_20_c_10_phi_25.hjs,3,2.7,20,10,25,2.16389913
modelo_h_03_hwp_090_alpha_20_c_10_phi_30.hjs,3,2.7,20,10,30,2.486450349
modelo_h_03_hwp_090_alpha_20_c_10_phi_35.hjs,3,2.7,20,10,35,2.840514295
modelo_h_03_hwp_090_alpha_20_c_10_phi_40.hjs,3,2.7,20,10,40,3.237263186
modelo_h_03_hwp_090_alpha_20_c_10_phi_45.hjs,3,2.7,20,10,45,3.692331217
modelo_h_03_hwp_090_alpha_20_c_15_phi_15.hjs,3,2.7,20,15,15,1.987143635
modelo_h_03_hwp_090_alpha_20_c_15_phi_20.hjs,3,2.7,20,15,20,2.282658156
modelo_h_03_hwp_090_alpha_20_c_15_phi_25.hjs,3,2.7,20,15,25,2.590371349
modelo_h_03_hwp_090_alpha_20_c_15_phi_30.hjs,3,2.7,20,15,30,2.921485971
modelo_h_03_hwp_090_alpha_20_c_15_phi_35.hjs,3,2.7,20,15,35,3.28403332
modelo_h_03_hwp_090_alpha_20_c_15_phi_40.hjs,3,2.7,20,15,40,3.680708941
modelo_h_03_hwp_090_alpha_20_c_15_phi_45.hjs,3,2.7,20,15,45,4.135711556
modelo_h_03_hwp_090_alpha_20_c_20_phi_15.hjs,3,2.7,20,20,15,2.393289234
modelo_h_03_hwp_090_alpha_20_c_20_phi_20.hjs,3,2.7,20,20,20,2.688756427
modelo_h_03_hwp_090_alpha_20_c_20_phi_25.hjs,3,2.7,20,20,25,3.002526313
modelo_h_03_hwp_090_alpha_20_c_20_phi_30.hjs,3,2.7,20,20,30,3.339642908
modelo_h_03_hwp_090_alpha_20_c_20_phi_35.hjs,3,2.7,20,20,35,3.703986449
modelo_h_03_hwp_090_alpha_20_c_20_phi_40.hjs,3,2.7,20,20,40,4.113484481
modelo_h_03_hwp_090_alpha_20_c_20_phi_45.hjs,3,2.7,20,20,45,4.579222736
modelo_h_03_hwp_090_alpha_25_c_00_phi_15.hjs,3,2.7,25,0,15,0.506157328
modelo_h_03_hwp_090_alpha_25_c_00_phi_20.hjs,3,2.7,25,0,20,0.712444678
modelo_h_03_hwp_090_alpha_25_c_00_phi_25.hjs,3,2.7,25,0,25,0.930736178
modelo_h_03_hwp_090_alpha_25_c_00_phi_30.hjs,3,2.7,25,0,30,1.165867338
modelo_h_03_hwp_090_alpha_25_c_00_phi_35.hjs,3,2.7,25,0,35,1.423941332
modelo_h_03_hwp_090_alpha_25_c_00_phi_40.hjs,3,2.7,25,0,40,1.713107226
modelo_h_03_hwp_090_alpha_25_c_00_phi_45.hjs,3,2.7,25,0,45,2.044704649
modelo_h_03_hwp_090_alpha_25_c_05_phi_15.hjs,3,2.7,25,5,15,0.902532583
modelo_h_03_hwp_090_alpha_25_c_05_phi_20.hjs,3,2.7,25,5,20,1.122067385
modelo_h_03_hwp_090_alpha_25_c_05_phi_25.hjs,3,2.7,25,5,25,1.354438525
modelo_h_03_hwp_090_alpha_25_c_05_phi_30.hjs,3,2.7,25,5,30,1.604757101
modelo_h_03_hwp_090_alpha_25_c_05_phi_35.hjs,3,2.7,25,5,35,1.879516301
modelo_h_03_hwp_090_alpha_25_c_05_phi_40.hjs,3,2.7,25,5,40,2.187386796
modelo_h_03_hwp_090_alpha_25_c_05_phi_45.hjs,3,2.7,25,5,45,2.54044529
modelo_h_03_hwp_090_alpha_25_c_10_phi_15.hjs,3,2.7,25,10,15,1.256997662
modelo_h_03_hwp_090_alpha_25_c_10_phi_20.hjs,3,2.7,25,10,20,1.481668384
modelo_h_03_hwp_090_alpha_25_c_10_phi_25.hjs,3,2.7,25,10,25,1.718212888
modelo_h_03_hwp_090_alpha_25_c_10_phi_30.hjs,3,2.7,25,10,30,1.968440337
modelo_h_03_hwp_090_alpha_25_c_10_phi_35.hjs,3,2.7,25,10,35,2.243127573
modelo_h_03_hwp_090_alpha_25_c_10_phi_40.hjs,3,2.7,25,10,40,2.550936769
modelo_h_03_hwp_090_alpha_25_c_10_phi_45.hjs,3,2.7,25,10,45,2.903940886
modelo_h_03_hwp_090_alpha_25_c_15_phi_15.hjs,3,2.7,25,15,15,1.596430726
modelo_h_03_hwp_090_alpha_25_c_15_phi_20.hjs,3,2.7,25,15,20,1.82101086
modelo_h_03_hwp_090_alpha_25_c_15_phi_25.hjs,3,2.7,25,15,25,2.059411034
modelo_h_03_hwp_090_alpha_25_c_15_phi_30.hjs,3,2.7,25,15,30,2.316933959
modelo_h_03_hwp_090_alpha_25_c_15_phi_35.hjs,3,2.7,25,15,35,2.600437933
modelo_h_03_hwp_090_alpha_25_c_15_phi_40.hjs,3,2.7,25,15,40,2.914673216
modelo_h_03_hwp_090_alpha_25_c_15_phi_45.hjs,3,2.7,25,15,45,3.267607411
modelo_h_03_hwp_090_alpha_25_c_20_phi_15.hjs,3,2.7,25,20,15,1.928954452
modelo_h_03_hwp_090_alpha_25_c_20_phi_20.hjs,3,2.7,25,20,20,2.159224058
modelo_h_03_hwp_090_alpha_25_c_20_phi_25.hjs,3,2.7,25,20,25,2.398742167
modelo_h_03_hwp_090_alpha_25_c_20_phi_30.hjs,3,2.7,25,20,30,2.656203736
modelo_h_03_hwp_090_alpha_25_c_20_phi_35.hjs,3,2.7,25,20,35,2.939662774
modelo_h_03_hwp_090_alpha_25_c_20_phi_40.hjs,3,2.7,25,20,40,3.258339513
modelo_h_03_hwp_090_alpha_25_c_20_phi_45.hjs,3,2.7,25,20,45,3.625157459
modelo_h_03_hwp_090_alpha_30_c_00_phi_15.hjs,3,2.7,30,0,15,0.407905786
modelo_h_03_hwp_090_alpha_30_c_00_phi_20.hjs,3,2.7,30,0,20,0.574079659
modelo_h_03_hwp_090_alpha_30_c_00_phi_25.hjs,3,2.7,30,0,25,0.75005869
modelo_h_03_hwp_090_alpha_30_c_00_phi_30.hjs,3,2.7,30,0,30,0.939543862
modelo_h_03_hwp_090_alpha_30_c_00_phi_35.hjs,3,2.7,30,0,35,1.147519918
modelo_h_03_hwp_090_alpha_30_c_00_phi_40.hjs,3,2.7,30,0,40,1.380551729
modelo_h_03_hwp_090_alpha_30_c_00_phi_45.hjs,3,2.7,30,0,45,1.647778166
modelo_h_03_hwp_090_alpha_30_c_05_phi_15.hjs,3,2.7,30,5,15,0.743343789
modelo_h_03_hwp_090_alpha_30_c_05_phi_20.hjs,3,2.7,30,5,20,0.919766756
modelo_h_03_hwp_090_alpha_30_c_05_phi_25.hjs,3,2.7,30,5,25,1.106552364
modelo_h_03_hwp_090_alpha_30_c_05_phi_30.hjs,3,2.7,30,5,30,1.307835012
modelo_h_03_hwp_090_alpha_30_c_05_phi_35.hjs,3,2.7,30,5,35,1.52871867
modelo_h_03_hwp_090_alpha_30_c_05_phi_40.hjs,3,2.7,30,5,40,1.776226055
modelo_h_03_hwp_090_alpha_30_c_05_phi_45.hjs,3,2.7,30,5,45,2.060059303
modelo_h_03_hwp_090_alpha_30_c_10_phi_15.hjs,3,2.7,30,10,15,1.043202569
modelo_h_03_hwp_090_alpha_30_c_10_phi_20.hjs,3,2.7,30,10,20,1.224171688
modelo_h_03_hwp_090_alpha_30_c_10_phi_25.hjs,3,2.7,30,10,25,1.416415526
modelo_h_03_hwp_090_alpha_30_c_10_phi_30.hjs,3,2.7,30,10,30,1.617988439
modelo_h_03_hwp_090_alpha_30_c_10_phi_35.hjs,3,2.7,30,10,35,1.838797317
modelo_h_03_hwp_090_alpha_30_c_10_phi_40.hjs,3,2.7,30,10,40,2.086238713
modelo_h_03_hwp_090_alpha_30_c_10_phi_45.hjs,3,2.7,30,10,45,2.370016088
modelo_h_03_hwp_090_alpha_30_c_15_phi_15.hjs,3,2.7,30,15,15,1.329826737
modelo_h_03_hwp_090_alpha_30_c_15_phi_20.hjs,3,2.7,30,15,20,1.510750351
modelo_h_03_hwp_090_alpha_30_c_15_phi_25.hjs,3,2.7,30,15,25,1.702890413
modelo_h_03_hwp_090_alpha_30_c_15_phi_30.hjs,3,2.7,30,15,30,1.91056961
modelo_h_03_hwp_090_alpha_30_c_15_phi_35.hjs,3,2.7,30,15,35,2.139339009
modelo_h_03_hwp_090_alpha_30_c_15_phi_40.hjs,3,2.7,30,15,40,2.396449716
modelo_h_03_hwp_090_alpha_30_c_15_phi_45.hjs,3,2.7,30,15,45,2.680151678
modelo_h_03_hwp_090_alpha_30_c_20_phi_15.hjs,3,2.7,30,20,15,1.616469447
modelo_h_03_hwp_090_alpha_30_c_20_phi_20.hjs,3,2.7,30,20,20,1.797329417
modelo_h_03_hwp_090_alpha_30_c_20_phi_25.hjs,3,2.7,30,20,25,1.989412912
modelo_h_03_hwp_090_alpha_30_c_20_phi_30.hjs,3,2.7,30,20,30,2.197036486
modelo_h_03_hwp_090_alpha_30_c_20_phi_35.hjs,3,2.7,30,20,35,2.425763144
modelo_h_03_hwp_090_alpha_30_c_20_phi_40.hjs,3,2.7,30,20,40,2.683069572
modelo_h_03_hwp_090_alpha_30_c_20_phi_45.hjs,3,2.7,30,20,45,2.975825718
modelo_h_03_hwp_090_alpha_35_c_00_phi_15.hjs,3,2.7,35,0,15,0.335726957
modelo_h_03_hwp_090_alpha_35_c_00_phi_20.hjs,3,2.7,35,0,20,0.47249654
modelo_h_03_hwp_090_alpha_35_c_00_phi_25.hjs,3,2.7,35,0,25,0.617269616
modelo_h_03_hwp_090_alpha_35_c_00_phi_30.hjs,3,2.7,35,0,30,0.773207988
modelo_h_03_hwp_090_alpha_35_c_00_phi_35.hjs,3,2.7,35,0,35,0.944455782
modelo_h_03_hwp_090_alpha_35_c_00_phi_40.hjs,3,2.7,35,0,40,1.136248485
modelo_h_03_hwp_090_alpha_35_c_00_phi_45.hjs,3,2.7,35,0,45,1.356186208
modelo_h_03_hwp_090_alpha_35_c_05_phi_15.hjs,3,2.7,35,5,15,0.638864278
modelo_h_03_hwp_090_alpha_35_c_05_phi_20.hjs,3,2.7,35,5,20,0.784014477
modelo_h_03_hwp_090_alpha_35_c_05_phi_25.hjs,3,2.7,35,5,25,0.937699578
modelo_h_03_hwp_090_alpha_35_c_05_phi_30.hjs,3,2.7,35,5,30,1.103261862
modelo_h_03_hwp_090_alpha_35_c_05_phi_35.hjs,3,2.7,35,5,35,1.285041229
modelo_h_03_hwp_090_alpha_35_c_05_phi_40.hjs,3,2.7,35,5,40,1.488693189
modelo_h_03_hwp_090_alpha_35_c_05_phi_45.hjs,3,2.7,35,5,45,1.720616719
modelo_h_03_hwp_090_alpha_35_c_10_phi_15.hjs,3,2.7,35,10,15,0.903438838
modelo_h_03_hwp_090_alpha_35_c_10_phi_20.hjs,3,2.7,35,10,20,1.052668359
modelo_h_03_hwp_090_alpha_35_c_10_phi_25.hjs,3,2.7,35,10,25,1.211196534
modelo_h_03_hwp_090_alpha_35_c_10_phi_30.hjs,3,2.7,35,10,30,1.381546635
modelo_h_03_hwp_090_alpha_35_c_10_phi_35.hjs,3,2.7,35,10,35,1.564911127
modelo_h_03_hwp_090_alpha_35_c_10_phi_40.hjs,3,2.7,35,10,40,1.770858383
modelo_h_03_hwp_090_alpha_35_c_10_phi_45.hjs,3,2.7,35,10,45,2.004472237
modelo_h_03_hwp_090_alpha_35_c_15_phi_15.hjs,3,2.7,35,15,15,1.160875707
modelo_h_03_hwp_090_alpha_35_c_15_phi_20.hjs,3,2.7,35,15,20,1.310033202
modelo_h_03_hwp_090_alpha_35_c_15_phi_25.hjs,3,2.7,35,15,25,1.468497666
modelo_h_03_hwp_090_alpha_35_c_15_phi_30.hjs,3,2.7,35,15,30,1.639810643
modelo_h_03_hwp_090_alpha_35_c_15_phi_35.hjs,3,2.7,35,15,35,1.828593033
modelo_h_03_hwp_090_alpha_35_c_15_phi_40.hjs,3,2.7,35,15,40,2.040965759
modelo_h_03_hwp_090_alpha_35_c_15_phi_45.hjs,3,2.7,35,15,45,2.279847643
modelo_h_03_hwp_090_alpha_35_c_20_phi_15.hjs,3,2.7,35,20,15,1.418313037
modelo_h_03_hwp_090_alpha_35_c_20_phi_20.hjs,3,2.7,35,20,20,1.567413685
modelo_h_03_hwp_090_alpha_35_c_20_phi_25.hjs,3,2.7,35,20,25,1.725821697
modelo_h_03_hwp_090_alpha_35_c_20_phi_30.hjs,3,2.7,35,20,30,1.897114851
modelo_h_03_hwp_090_alpha_35_c_20_phi_35.hjs,3,2.7,35,20,35,2.08583392
modelo_h_03_hwp_090_alpha_35_c_20_phi_40.hjs,3,2.7,35,20,40,2.298180846
modelo_h_03_hwp_090_alpha_35_c_20_phi_45.hjs,3,2.7,35,20,45,2.457600196
modelo_h_03_hwp_090_alpha_40_c_00_phi_15.hjs,3,2.7,40,0,15,0.288481517
modelo_h_03_hwp_090_alpha_40_c_00_phi_20.hjs,3,2.7,40,0,20,0.40607158
modelo_h_03_hwp_090_alpha_40_c_00_phi_25.hjs,3,2.7,40,0,25,0.530483059
modelo_h_03_hwp_090_alpha_40_c_00_phi_30.hjs,3,2.7,40,0,30,0.664498105
modelo_h_03_hwp_090_alpha_40_c_00_phi_35.hjs,3,2.7,40,0,35,0.811590304
modelo_h_03_hwp_090_alpha_40_c_00_phi_40.hjs,3,2.7,40,0,40,0.976403412
modelo_h_03_hwp_090_alpha_40_c_00_phi_45.hjs,3,2.7,40,0,45,1.165431388
modelo_h_03_hwp_090_alpha_40_c_05_phi_15.hjs,3,2.7,40,5,15,0.559832004
modelo_h_03_hwp_090_alpha_40_c_05_phi_20.hjs,3,2.7,40,5,20,0.681612256
modelo_h_03_hwp_090_alpha_40_c_05_phi_25.hjs,3,2.7,40,5,25,0.810935187
modelo_h_03_hwp_090_alpha_40_c_05_phi_30.hjs,3,2.7,40,5,30,0.9506768
modelo_h_03_hwp_090_alpha_40_c_05_phi_35.hjs,3,2.7,40,5,35,1.103930002
modelo_h_03_hwp_090_alpha_40_c_05_phi_40.hjs,3,2.7,40,5,40,1.271660881
modelo_h_03_hwp_090_alpha_40_c_05_phi_45.hjs,3,2.7,40,5,45,1.462859401
modelo_h_03_hwp_090_alpha_40_c_10_phi_15.hjs,3,2.7,40,10,15,0.804820904
modelo_h_03_hwp_090_alpha_40_c_10_phi_20.hjs,3,2.7,40,10,20,0.926447727
modelo_h_03_hwp_090_alpha_40_c_10_phi_25.hjs,3,2.7,40,10,25,1.055648383
modelo_h_03_hwp_090_alpha_40_c_10_phi_30.hjs,3,2.7,40,10,30,1.195294061
modelo_h_03_hwp_090_alpha_40_c_10_phi_35.hjs,3,2.7,40,10,35,1.349104917
modelo_h_03_hwp_090_alpha_40_c_10_phi_40.hjs,3,2.7,40,10,40,1.522093843
modelo_h_03_hwp_090_alpha_40_c_10_phi_45.hjs,3,2.7,40,10,45,1.721320023
modelo_h_03_hwp_090_alpha_40_c_15_phi_15.hjs,3,2.7,40,15,15,1.049874267
modelo_h_03_hwp_090_alpha_40_c_15_phi_20.hjs,3,2.7,40,15,20,1.171388494
modelo_h_03_hwp_090_alpha_40_c_15_phi_25.hjs,3,2.7,40,15,25,1.300491282
modelo_h_03_hwp_090_alpha_40_c_15_phi_30.hjs,3,2.7,40,15,30,1.440050325
modelo_h_03_hwp_090_alpha_40_c_15_phi_35.hjs,3,2.7,40,15,35,1.593786536
modelo_h_03_hwp_090_alpha_40_c_15_phi_40.hjs,3,2.7,40,15,40,1.766712574
modelo_h_03_hwp_090_alpha_40_c_15_phi_45.hjs,3,2.7,40,15,45,1.965865067
modelo_h_03_hwp_090_alpha_40_c_20_phi_15.hjs,3,2.7,40,20,15,1.290909529
modelo_h_03_hwp_090_alpha_40_c_20_phi_20.hjs,3,2.7,40,20,20,1.416384691
modelo_h_03_hwp_090_alpha_40_c_20_phi_25.hjs,3,2.7,40,20,25,1.545410119
modelo_h_03_hwp_090_alpha_40_c_20_phi_30.hjs,3,2.7,40,20,30,1.68489133
modelo_h_03_hwp_090_alpha_40_c_20_phi_35.hjs,3,2.7,40,20,35,1.838560753
modelo_h_03_hwp_090_alpha_40_c_20_phi_40.hjs,3,2.7,40,20,40,2.011425673
modelo_h_03_hwp_090_alpha_40_c_20_phi_45.hjs,3,2.7,40,20,45,2.060466601
modelo_h_03_hwp_090_alpha_45_c_00_phi_15.hjs,3,2.7,45,0,15,0.241213156
modelo_h_03_hwp_090_alpha_45_c_00_phi_20.hjs,3,2.7,45,0,20,0.339483268
modelo_h_03_hwp_090_alpha_45_c_00_phi_25.hjs,3,2.7,45,0,25,0.443577131
modelo_h_03_hwp_090_alpha_45_c_00_phi_30.hjs,3,2.7,45,0,30,0.555637972
modelo_h_03_hwp_090_alpha_45_c_00_phi_35.hjs,3,2.7,45,0,35,0.678633298
modelo_h_03_hwp_090_alpha_45_c_00_phi_40.hjs,3,2.7,45,0,40,0.816420813
modelo_h_03_hwp_090_alpha_45_c_00_phi_45.hjs,3,2.7,45,0,45,0.97445028
modelo_h_03_hwp_090_alpha_45_c_05_phi_15.hjs,3,2.7,45,5,15,0.504029503
modelo_h_03_hwp_090_alpha_45_c_05_phi_20.hjs,3,2.7,45,5,20,0.606365638
modelo_h_03_hwp_090_alpha_45_c_05_phi_25.hjs,3,2.7,45,5,25,0.715025368
modelo_h_03_hwp_090_alpha_45_c_05_phi_30.hjs,3,2.7,45,5,30,0.832413812
modelo_h_03_hwp_090_alpha_45_c_05_phi_35.hjs,3,2.7,45,5,35,0.961651658
modelo_h_03_hwp_090_alpha_45_c_05_phi_40.hjs,3,2.7,45,5,40,1.106934385
modelo_h_03_hwp_090_alpha_45_c_05_phi_45.hjs,3,2.7,45,5,45,1.274156397
modelo_h_03_hwp_090_alpha_45_c_10_phi_15.hjs,3,2.7,45,10,15,0.744665421
modelo_h_03_hwp_090_alpha_45_c_10_phi_20.hjs,3,2.7,45,10,20,0.846864962
modelo_h_03_hwp_090_alpha_45_c_10_phi_25.hjs,3,2.7,45,10,25,0.955413588
modelo_h_03_hwp_090_alpha_45_c_10_phi_30.hjs,3,2.7,45,10,30,1.072717068
modelo_h_03_hwp_090_alpha_45_c_10_phi_35.hjs,3,2.7,45,10,35,1.201886802
modelo_h_03_hwp_090_alpha_45_c_10_phi_40.hjs,3,2.7,45,10,40,1.347120803
modelo_h_03_hwp_090_alpha_45_c_10_phi_45.hjs,3,2.7,45,10,45,1.51430347
modelo_h_03_hwp_090_alpha_45_c_15_phi_15.hjs,3,2.7,45,15,15,0.985320153
modelo_h_03_hwp_090_alpha_45_c_15_phi_20.hjs,3,2.7,45,15,20,1.087428188
modelo_h_03_hwp_090_alpha_45_c_15_phi_25.hjs,3,2.7,45,15,25,1.19589442
modelo_h_03_hwp_090_alpha_45_c_15_phi_30.hjs,3,2.7,45,15,30,1.313123538
modelo_h_03_hwp_090_alpha_45_c_15_phi_35.hjs,3,2.7,45,15,35,1.442227683
modelo_h_03_hwp_090_alpha_45_c_15_phi_40.hjs,3,2.7,45,15,40,1.587408969
modelo_h_03_hwp_090_alpha_45_c_15_phi_45.hjs,3,2.7,45,15,45,1.723526867
modelo_h_03_hwp_090_alpha_45_c_20_phi_15.hjs,3,2.7,45,20,15,1.225974292
modelo_h_03_hwp_090_alpha_45_c_20_phi_20.hjs,3,2.7,45,20,20,1.328026393
modelo_h_03_hwp_090_alpha_45_c_20_phi_25.hjs,3,2.7,45,20,25,1.436428916
modelo_h_03_hwp_090_alpha_45_c_20_phi_30.hjs,3,2.7,45,20,30,1.553596396
modelo_h_03_hwp_090_alpha_45_c_20_phi_35.hjs,3,2.7,45,20,35,1.682643096
modelo_h_03_hwp_090_alpha_45_c_20_phi_40.hjs,3,2.7,45,20,40,1.729073824
modelo_h_03_hwp_090_alpha_45_c_20_phi_45.hjs,3,2.7,45,20,45,1.741886392
modelo_h_03_hwp_090_alpha_50_c_00_phi_15.hjs,3,2.7,50,0,15,0.203477768
modelo_h_03_hwp_090_alpha_50_c_00_phi_20.hjs,3,2.7,50,0,20,0.285573784
modelo_h_03_hwp_090_alpha_50_c_00_phi_25.hjs,3,2.7,50,0,25,0.372493581
modelo_h_03_hwp_090_alpha_50_c_00_phi_30.hjs,3,2.7,50,0,30,0.466163701
modelo_h_03_hwp_090_alpha_50_c_00_phi_35.hjs,3,2.7,50,0,35,0.569034993
modelo_h_03_hwp_090_alpha_50_c_00_phi_40.hjs,3,2.7,50,0,40,0.684380314
modelo_h_03_hwp_090_alpha_50_c_00_phi_45.hjs,3,2.7,50,0,45,0.816752365
modelo_h_03_hwp_090_alpha_50_c_05_phi_15.hjs,3,2.7,50,5,15,0.473313313
modelo_h_03_hwp_090_alpha_50_c_05_phi_20.hjs,3,2.7,50,5,20,0.558248591
modelo_h_03_hwp_090_alpha_50_c_05_phi_25.hjs,3,2.7,50,5,25,0.648916622
modelo_h_03_hwp_090_alpha_50_c_05_phi_30.hjs,3,2.7,50,5,30,0.747059557
modelo_h_03_hwp_090_alpha_50_c_05_phi_35.hjs,3,2.7,50,5,35,0.85540604
modelo_h_03_hwp_090_alpha_50_c_05_phi_40.hjs,3,2.7,50,5,40,0.977393659
modelo_h_03_hwp_090_alpha_50_c_05_phi_45.hjs,3,2.7,50,5,45,1.117965195
modelo_h_03_hwp_090_alpha_50_c_10_phi_15.hjs,3,2.7,50,10,15,0.713430516
modelo_h_03_hwp_090_alpha_50_c_10_phi_20.hjs,3,2.7,50,10,20,0.802956755
modelo_h_03_hwp_090_alpha_50_c_10_phi_25.hjs,3,2.7,50,10,25,0.897997599
modelo_h_03_hwp_090_alpha_50_c_10_phi_30.hjs,3,2.7,50,10,30,0.997813053
modelo_h_03_hwp_090_alpha_50_c_10_phi_35.hjs,3,2.7,50,10,35,1.105444924
modelo_h_03_hwp_090_alpha_50_c_10_phi_40.hjs,3,2.7,50,10,40,1.226846732
modelo_h_03_hwp_090_alpha_50_c_10_phi_45.hjs,3,2.7,50,10,45,1.366917017
modelo_h_03_hwp_090_alpha_50_c_15_phi_15.hjs,3,2.7,50,15,15,0.953254412
modelo_h_03_hwp_090_alpha_50_c_15_phi_20.hjs,3,2.7,50,15,20,1.042872573
modelo_h_03_hwp_090_alpha_50_c_15_phi_25.hjs,3,2.7,50,15,25,1.138001213
modelo_h_03_hwp_090_alpha_50_c_15_phi_30.hjs,3,2.7,50,15,30,1.240776714
modelo_h_03_hwp_090_alpha_50_c_15_phi_35.hjs,3,2.7,50,15,35,1.353956306
modelo_h_03_hwp_090_alpha_50_c_15_phi_40.hjs,3,2.7,50,15,40,1.458008283
modelo_h_03_hwp_090_alpha_50_c_15_phi_45.hjs,3,2.7,50,15,45,1.465895259
